Time Limit,Genetic Time(s),Genetic Best Score,HillClimb Time(s),HillClimb Best Score,,,,,,,,,,,
1,0.950000048,38,1,-10000,,,,,,,,,,,
1,0.912000179,31,1,-10000,,,,,,,,,,,
1,0.976999998,82,1,-10000,,,,,,,,,,,
1,0.976000071,10,1,-10000,,,,,,,,,,,
1,0.931999922,102,1,-10000,,,,,,,,,,,
1,0.857000113,36,1,-10000,,,,,,,,,,,
1,0.970000029,-9,1,-10000,,,,,,,,,,,
1,0.914000034,36,1,-10000,,,,,,,,,,,
1,0.989000082,22,1,-10000,,,,,,,,,,,
1,0.990999937,24,1,-10000,,,,,,,,,,,
2,1.851000071,123,1,-10000,,,,,,,,,,,
2,1.950000048,151,1,-10000,,,,,,,,,,,
2,1.988999844,98,1,-10000,,,,,,,,,,,
2,1.81099987,130,1,-10000,,,,,,,,,,,
2,1.928999901,155,1,-10000,,,,,,,,,,,
2,1.940000057,216,1,-10000,,,,,,,,,,,
2,1.810000181,162,1,-10000,,,,,,,,,,,
2,1.981999874,183,1,-10000,,,,,,,,,,,
2,1.976999998,162,1,-10000,,,,,,,,,,,
2,1.819999933,93,1,-10000,,,,,,,,,,,
3,2.971999884,207,1,-10000,,,,,,,,,,,
3,2.892999887,216,1,-10000,,,,,,,,,,,
3,2.987999916,204,1,-10000,,,,,,,,,,,
3,2.913000107,218,1,-10000,,,,,,,,,,,
3,2.944999933,212,1,-10000,,,,,,,,,,,
3,2.909999847,217,1,-10000,,,,,,,,,,,
3,2.927000046,238,1,-10000,,,,,,,,,,,
3,2.899999857,223,1,-10000,,,,,,,,,,,
3,2.753000021,191,1,-10000,,,,,,,,,,,
3,2.806999922,203,1,-10000,,,,,,,,,,,
4,3.971000195,250,1,-10000,,,,,,,,,,,
4,3.932999849,215,1,-10000,,,,,,,,,,,
4,3.959000111,229,1,-10000,,,,,,,,,,,
4,3.960999966,243,1,-10000,,,,,,,,,,,
4,4.003000021,199,1,-10000,,,,,,,,,,,
4,3.965000153,241,1,-10000,,,,,,,,,,,
4,3.916000128,220,1,-10000,,,,,,,,,,,
4,3.958999872,220,1,-10000,,,,,,,,,,,
4,3.999000072,239,1,-10000,,,,,,,,,,,
4,3.967000008,262,1,-10000,,,,,,,,,,,
5,4.990999937,266,1,-10000,,,,,,,,,,,
5,4.974999905,272,1,-10000,,,,,,,,,,,
5,4.911000013,296,1,-10000,,,,,,,,,,,
5,4.707999945,243,1,-10000,,,,,,,,,,,
5,4.975000143,269,1,-10000,,,,,,,,,,,
5,4.963000059,238,1,-10000,,,,,,,,,,,
5,4.865999937,244,1,-10000,,,,,,,,,,,
5,4.959000111,255,1,-10000,,,,,,,,,,,
5,4.960999966,247,1,-10000,,,,,,,,,,,
5,4.976000071,225,1,-10000,,,,,,,,,,,
6,5.757999897,221,1,-10000,,,,,,,,,,,
6,5.771000147,183,1,-10000,,,,,,,,,,,
6,5.940999985,258,1,-10000,,,,,,,,,,,
6,5.990999937,255,1,-10000,,,,,,,,,,,
6,5.983999968,274,1,-10000,,,,,,,,,,,
6,5.996999979,279,1,-10000,,,,,,,,,,,
6,5.954999924,264,1,-10000,,,,,,,,,,,
6,5.91899991,287,1,-10000,,,,,,,,,,,
6,5.971999884,276,1,-10000,,,,,,,,,,,
6,5.653000116,275,1,-10000,,,,,,,,,,,
7,6.980999947,283,1,-10000,,,,,,,,,,,
7,6.985000134,304,1,-10000,,,,,,,,,,,
7,6.86500001,286,1,-10000,,,,,,,,,,,
7,6.8349998,309,1,-10000,,,,,,,,,,,
7,6.880999804,249,1,-10000,,,,,,,,,,,
7,6.804999828,302,1,-10000,,,,,,,,,,,
7,6.974999905,273,1,-10000,,,,,,,,,,,
7,6.968000174,271,1,-10000,,,,,,,,,,,
7,6.950999975,222,1,-10000,,,,,,,,,,,
7,6.989000082,273,1,-10000,,,,,,,,,,,
8,7.996000052,330,1,-10000,,,,,,,,,,,
8,7.981000185,305,1,-10000,,,,,,,,,,,
8,7.960000038,295,1,-10000,,,,,,,,,,,
8,7.994000196,312,1,-10000,,,,,,,,,,,
8,7.924000025,307,1,-10000,,,,,,,,,,,
8,7.909999847,295,1,-10000,,,,,,,,,,,
8,7.879999876,304,1,-10000,,,,,,,,,,,
8,7.84100008,279,1,-10000,,,,,,,,,,,
8,7.979000092,331,1,-10000,,,,,,,,,,,
8,7.877000093,277,1,-10000,,,,,,,,,,,
9,9.003000021,226,1,-10000,,,,,,,,,,,
9,8.888999939,290,1,-10000,,,,,,,,,,,
9,8.983999968,315,1,-10000,,,,,,,,,,,
9,9.003000021,337,1,-10000,,,,,,,,,,,
9,8.986000061,295,1,-10000,,,,,,,,,,,
9,8.904999971,300,1,-10000,,,,,,,,,,,
9,8.990999937,279,1,-10000,,,,,,,,,,,
9,8.878000021,237,1,-10000,,,,,,,,,,,
9,8.94299984,235,1,-10000,,,,,,,,,,,
9,8.930000067,223,1,-10000,,,,,,,,,,,
10,9.975000143,299,1,-10000,,,,,,,,,,,
10,9.93599987,318,1,-10000,,,,,,,,,,,
10,9.990999937,347,1,-10000,,,,,,,,,,,
10,9.815000057,330,1,-10000,,,,,,,,,,,
10,9.972000122,292,1,-10000,,,,,,,,,,,
10,9.996999979,300,1,-10000,,,,,,,,,,,
10,9.83100009,237,1,-10000,,,,,,,,,,,
10,9.94900012,261,1,-10000,,,,,,,,,,,
10,9.917000055,226,1,-10000,,,,,,,,,,,
10,9.995999813,201,1,-10000,,,,,,,,,,,
